titel;tag;start;ende;buehne;thema;speaker
"Pre-Check-in & Badge Pickup";"2026-07-08";"10:00";"19:00";"CityCube";"Community";""
"Advanced AI Systems With MCP, Memory & Human-In-The-Loop";"2026-07-08";"10:00";"18:00";"New York 1";"AI Agents";"Stuart van der Lee"
"Spec First Development: Building and Modernizing Apps with Agentic AI";"2026-07-08";"10:00";"18:00";"New York 2";"AI Agents";"Julia Kordick"
"Mastering Software Architecture";"2026-07-08";"10:00";"18:00";"New York 3";"Software Architecture";"David Tielke"
"The Software Engineer 2030: From Coder To AI Orchestrator?";"2026-07-08";"10:00";"18:00";"London 1";"Developer Experience";"Patrick Schnell"
"Event-Driven Microservices: Patterns and Practices";"2026-07-08";"10:00";"18:00";"London 2";"Software Architecture";"Lutz Huehnken"
"Modern Angular Architectures: SignalStore, Signal Forms, and Agentic UI";"2026-07-08";"10:00";"18:00";"London 3";"Frontend, Web & Mobile";"Manfred Steyer"
"Your Data, Your Agents: Building a Multi-Agent Workflow with Microsoft Fabric";"2026-07-08";"11:00";"11:45";"Room M1";"AI Agents";"Hanna Schwab"
"Prompt Engineering Hands-on";"2026-07-08";"11:00";"13:00";"Room M2";"AI Engineering";"Harald Nezbeda"
"Teaching Kubernetes Security in your Cluster";"2026-07-08";"11:00";"13:00";"Room M3";"Security & Privacy";"Thomas Fricke"
"The Decisions Developers Make Without Noticing – And How to Make Them Better";"2026-07-08";"11:00";"13:00";"Room M4";"Engineering Leadership";"Stan Bühne"
"Forecasting Workshop with sktime";"2026-07-08";"11:00";"13:00";"Room M5";"Data & Databases";"Franz Kiraly"
"From COBOL to Java: How Developers Transition 60 Years of Legacy into Modern Java Services";"2026-07-08";"11:00";"13:00";"Room M6";"Languages & Runtimes";"Jannis Eickenroth"
"Agents of Football: Build AI Agents That Compete in Live Football Matches";"2026-07-08";"11:00";"13:00";"Room M8";"AI Agents";"Roland Odorfer"
"What do we need to deliver high quality products?";"2026-07-08";"11:00";"13:00";"Room R2";"Quality & Reliability";"Erhardt Wunderlich"
"Deep Dive: Mastering Agents, MCP and other hypes";"2026-07-08";"11:00";"13:00";"Room R3";"AI Agents";"Dr. Damir Dobric"
"CODE100 Intro";"2026-07-08";"12:00";"12:30";"Airstream 2";"Competition";""
"GitHub Copilot in JetBrains: From Plugin to AI Agent";"2026-07-08";"12:00";"12:45";"Room M1";"Developer Experience";"Sandra Ahlgrimm"
"Fireside Chat with Julia Kordick, Sr. Software Global Black Belt";"2026-07-08";"12:30";"13:00";"Airstream 2";"Developer Experience";"Christian Heilmann"
"WeAreDevelopers LIVE: Live and Uncut";"2026-07-08";"13:00";"14:00";"Airstream 2";"Community";""
"Build Agents Once, Run Them Anywhere: AI Systems That Survive Change";"2026-07-08";"13:00";"13:45";"Room M1";"AI Agents";"Isha Salania"
"From messy addresses to production-ready data: Build a location enrichment pipeline on AWS with HERE";"2026-07-08";"13:30";"15:30";"Room M2";"Cloud & AI Infrastructure";"Alberts Jekabsons"
"Trust, but Verify: Building a Document Agent That Survives Production";"2026-07-08";"13:30";"15:30";"Room M3";"AI Agents";"Cliff Simpkins"
"Beyond the Thor's Hammer: Pragmatic Agentic AI with Caching, Reuse, and Cost Guardrails";"2026-07-08";"13:30";"15:30";"Room M4";"AI Agents";"Satej Sahu"
"Engineering Customer Journey Analytics at Scale";"2026-07-08";"13:30";"15:30";"Room M5";"Data & Databases";"Sophie-Theresa Kleinke"
"Trust code you didn't write: From code review to confidence";"2026-07-08";"13:30";"15:30";"Room M6";"Quality & Reliability";"Carl Fagerlin"
"Getting started with Hexagonal Architecture";"2026-07-08";"13:30";"15:30";"Room M7";"Software Architecture";"Dagmar de Haan"
"Build an agentic full-stack tabletop game master application";"2026-07-08";"13:30";"15:30";"Room M8";"AI Agents";"Salih Guler"
"MCP is all you need to make an AI-agent consume your RESTful API";"2026-07-08";"13:30";"15:30";"Room R2";"AI Agents";"Nikos Delis"
"Build a Production-Ready AI Agent in 90 Minutes";"2026-07-08";"13:30";"15:30";"Room R3";"AI Agents";"Tamas Piros"
"Ship agents to production without losing sleep";"2026-07-08";"14:00";"14:45";"Room M1";"AI Agents";"Ricardo Niepel"
"Tool Time – Share Your Favorite Tools";"2026-07-08";"14:30";"15:30";"Airstream 2";"Community";""
"Engineering GitHub Copilot for Resilience at Scale";"2026-07-08";"15:00";"15:45";"Room M1";"Developer Experience";"Angela Wen"
"Drag Karaoke";"2026-07-08";"15:30";"16:30";"Airstream 2";"Entertainment";""
"Context is Money: Slashing RAG Production Costs with Foundry IQ";"2026-07-08";"16:00";"16:45";"Room M1";"AI Engineering";"Kiran Panchal"
"The Art and Science behind evaluating AI Agents at scale";"2026-07-08";"16:00";"18:00";"Room M2";"AI Agents";"Alfonso Graziano"
